"","price_per_sqmt","facing_direction","floor_level","decoration"
"735",42169,"South","middle","simple"
"736",36344,"South","top","simple"
"737",37638,"South","middle","refined"
"738",42522,"South","middle","simple"
"739",37444,"South","high","simple"
"740",32053,"East/West","high","simple"
"741",34305,"East/West","low","refined"
"742",41740,"South","high","refined"
"743",34359,"South","low","simple"
"744",31825,"South","first","refined"
"745",40309,"South","middle","refined"
"746",33184,"South","middle","refined"
"747",36638,"East/West","high","refined"
"748",35930,"South","top","refined"
"749",39773,"South","high","simple"
"750",32716,"East/West","high","refined"
"751",30775,"South","high","other"
"752",31162,"South","middle","refined"
"753",37322,"South","first","simple"
"754",46154,"South","middle","other"
"755",45358,"South","low","other"
"756",43722,"South","top","other"
"757",50609,"South","first","other"
"758",42658,"South","low","other"
"759",43363,"East/West","middle","other"
"760",41248,"South","high","other"
"761",42832,"East/West","middle","other"
"762",42830,"South","middle","other"
"763",34586,"South","top","other"
"764",37132,"South","middle","other"
"765",42115,"South","middle","other"
"766",38005,"South","high","other"
"767",31696,"East/West","top","other"
"768",45455,"South","middle","other"
"769",33806,"South","top","other"
"770",39126,"South","middle","other"
"771",34691,"South","middle","other"
"772",35263,"South","first","other"
"773",30330,"South","high","other"
"774",21260,"South","middle","other"
"775",21585,"East/West","middle","other"
"776",28811,"South","high","other"
"777",30304,"South","middle","other"
"778",28143,"East/West","first","other"
"779",27150,"South","middle","other"
"780",20945,"North","high","other"
"781",26000,"South","top","other"
"782",20800,"South","first","other"
"783",24532,"South","high","other"
"784",22914,"East/West","middle","other"
"785",24160,"South","middle","other"
"786",23717,"South","top","other"
"787",19867,"East/West","middle","other"
"788",24818,"South","first","other"
"789",22921,"South","top","other"
"790",22870,"South","low","other"
"791",21660,"South","middle","other"
"792",56604,"South","high","refined"
"793",58267,"South","middle","simple"
"794",60033,"South","middle","refined"
"795",66177,"South","middle","other"
"796",61729,"South","middle","other"
"797",55776,"South","middle","simple"
"798",55504,"South","top","simple"
"799",64298,"South","high","simple"
"800",42905,"South","high","simple"
"801",34511,"South","middle","simple"
"802",33708,"South","high","simple"
"803",34884,"South","top","refined"
"804",37612,"South","low","refined"
"805",39647,"South","low","other"
"806",37612,"South","low","other"
"807",31012,"South","middle","other"
