price_per_sqmt,facing_direction,floor_level,decoration
27150.0,South,middle,other
20945.0,North,high,other
26000.0,South,top,other
20800.0,South,first,other
24532.0,South,high,other
22914.0,East/West,middle,other
24160.0,South,middle,other
23717.0,South,top,other
19867.0,East/West,middle,other
24818.0,South,first,other
22921.0,South,top,other
22870.0,South,low,other
21660.0,South,middle,other
56604.0,South,high,refined
58267.0,South,middle,simple
60033.0,South,middle,refined
66177.0,South,middle,other
61729.0,South,middle,other
55776.0,South,middle,simple
55504.0,South,top,simple
64298.0,South,high,simple
42905.0,South,high,simple
34511.0,South,middle,simple
33708.0,South,high,simple
34884.0,South,top,refined
37612.0,South,low,refined
39647.0,South,low,other
37612.0,South,low,other
31012.0,South,middle,other
25208.0,South,middle,other
30183.0,South,middle,other
26403.0,South,high,other
27171.0,South,low,other
57579.0,South,top,simple
64066.0,South,middle,refined
62415.0,South,top,simple
59393.0,South,middle,simple
63493.0,South,middle,simple
59758.0,South,first,refined
73598.0,South,middle,refined
69067.0,South,middle,refined
79778.0,North,middle,refined
72390.0,South,middle,simple
65030.0,South,middle,refined
74814.0,South,middle,simple
64986.0,South,top,simple
65859.0,South,first,simple
64281.0,South,top,refined
52885.0,North,middle,simple
55354.0,South,low,simple
54442.0,South,middle,simple
49223.0,South,first,refined
48896.0,South,middle,simple
46721.0,South,top,refined
36776.0,South,top,other
42525.0,South,high,refined
39852.0,South,middle,simple
40840.0,South,middle,refined
34755.0,South,high,refined
35473.0,South,top,simple
40475.0,South,middle,other
50106.0,South,first,refined
31506.0,South,first,simple
35136.0,South,top,refined
40772.0,South,middle,simple
28969.0,South,high,simple
30797.0,South,middle,refined
35914.0,South,middle,other
44445.0,South,middle,other
39804.0,South,low,other
36253.0,South,middle,other
42010.0,South,middle,other
40019.0,South,high,other
35142.0,South,high,other
25788.0,South,high,other
25946.0,South,high,other
21168.0,South,middle,other
76471.0,South,middle,refined
69053.0,South,low,simple
69359.0,South,high,simple
65057.0,South,middle,refined
67194.0,South,high,refined
65637.0,South,high,simple
66099.0,South,middle,simple
63480.0,South,top,simple
67403.0,South,middle,simple
66456.0,South,low,refined
53449.0,South,top,simple
61177.0,South,high,simple
61177.0,South,low,refined
38648.0,South,top,other
41876.0,South,high,refined
42164.0,South,middle,refined
42019.0,South,low,simple
33731.0,South,middle,simple
32899.0,South,top,simple
43295.0,South,middle,other
45177.0,South,high,other
40778.0,South,high,other
36709.0,South,low,other
35588.0,South,top,other
36627.0,South,middle,other
32938.0,South,middle,other
31035.0,South,high,other
36624.0,South,first,other
26113.0,South,top,other
21806.0,South,middle,other
89529.0,South,middle,refined
94795.0,South,high,refined
91526.0,South,middle,refined
75950.0,South,low,refined
77232.0,South,high,refined
68820.0,South,low,refined
91376.0,South,low,simple
74286.0,South,low,refined
80143.0,South,middle,refined
74200.0,South,high,refined
74610.0,South,middle,other
76689.0,South,high,other
78034.0,South,low,refined
75729.0,South,middle,refined
74675.0,South,NA,NA
89998.0,South,middle,refined
78777.0,South,NA,NA
79172.0,South,middle,refined
71738.0,South,middle,other
76459.0,South,high,refined
64149.0,South,high,other
82015.0,South,first,other
81501.0,South,middle,refined
